"x"
"AB_UP"
"MFM"
"ADL"
"ADX"
"CHOSC"
"APO"
"AR_NEG"
"AR_OSC"
"ATR"
"ATRP"
"AVOL"
"BB_BW"
"VOLAT"
"PERC_B"
"CCI"
"CMO"
"ROC"
"COPP"
"DPO"
"DEMA"
"DSS"
"EMV"
"FORCE"
"HULL"
"MQO_ALPHA"
"MACD"
"MACDH"
"MAE_UP"
"MAE_LOW"
"MASS"
"RMF"
"MOM"
"NVI"
"NATR"
"OBV"
"SAR"
"CHOPPINESS"
"PVOH"
"PVI"
"PVT"
"RSI"
"STRSI"
"TRIX"
"ULCER"
"VOOSC"
"VPT"
"PVOI"
"NVOI"
"DISP"
"OSCP"
"BIAS"
"VOLR"
"REX"
"VMOM"
