"x"
"MFM"
"ADL"
"ADX"
"CHOSC"
"APO"
"AR_POS"
"AR_NEG"
"ATR"
"ATRP"
"AVOL"
"BB_BW"
"BWW"
"PERC_B"
"CCI"
"CVOL"
"CMO"
"ROC"
"COPP"
"DPO"
"DMI"
"DEMA"
"DSS"
"EMV"
"FORCE"
"HULL"
"MQO_ALPHA"
"MQO_BETA"
"MQO_STD"
"CLOSE"
"VOLUME"
"MASS"
"RMF"
"MFI"
"MOM"
"NVI"
"NATR"
"OBV"
"DR1"
"CHOPPINESS"
"PVO"
"PVI"
"PSK"
"RSI"
"STRSI"
"STOCH_D"
"STOCH_D_SLOW"
"TSI"
"ULTOSC"
"VAMA"
"VOOSC"
"PVOI"
"OSCP"
"PSY"
"BIAS"
"VOLR"
"HPR"
"VMOM"
"MPP"
