"x"
"NVI"
"CVOL"
"CCI"
"AR_NEG"
"MAE_UP"
"MAE_LOW"
"DPO"
"DISP"
"AD"
"VWAP"
"CLOSE"
"BIAS"
"VPT"
"MFM"
"PVO"
