"x"
"AD"
"MFM"
"ADL"
"ADX"
"CHOSC"
"APO"
"AR_NEG"
"ATRP"
"AVOL"
"BB_BW"
"PERC_B"
"CCI"
"CVOL"
"CMO"
"ROC"
"COPP"
"DPO"
"DEMA"
"DSS"
"EMV"
"FORCE"
"HULL"
"MQO_ALPHA"
"MACD"
"MACDH"
"MASS"
"RMF"
"MFI"
"MOM"
"NVI"
"NATR"
"OBV"
"SAR"
"TP"
"SS1"
"SS2"
"DS1"
"CHOPPINESS"
"PPO"
"PPOH"
"PVO"
"PVOH"
"PVI"
"PVT"
"KST"
"PSK"
"RSI"
"STRSI"
"STOCH_K"
"STOCH_D_SLOW"
"ULTOSC"
"VAMA"
"VOOSC"
"VPT"
"NVOI"
"WILL_R"
"OSCP"
"PSY"
"VOLR"
"REX"
"HPR"
"LPR"
"VMOM"
"MPP"
