"x"
"AB_UP"
"MFM"
"APO"
"AR_POS"
"BB_UP"
"BB_LOW"
"BWW"
"PERC_B"
"CHAND_LONG"
"DPO"
"DEMA"
"EMA"
"KAMA"
"KC_U"
"KC_M"
"MQO_ALPHA"
"MQO_BETA"
"CLOSE"
"PC_DOWN"
"CHOPPINESS"
"PVOH"
"STRSI"
"TEMA"
"TRIMA"
"ULCER"
"WMA"
"WWS"
"OSCP"
"HPR"
