"x"
"AB_UP"
"AB_DOWN"
"AD"
"MFM"
"ADL"
"ADX"
"CHOSC"
"APO"
"AR_POS"
"AR_NEG"
"ATR"
"ATRP"
"AVOL"
"BB_UP"
"BB_BW"
"BWW"
"VOLAT"
"PERC_B"
"CCI"
"CVOL"
"CMO"
"MAXX"
"MINN"
"ROC"
"COPP"
"DPO"
"DMI"
"DEMA"
"DSS"
"EMA"
"EMV"
"FORCE"
"HULL"
"KC_U"
"KC_M"
"KC_L"
"MQO_ALPHA"
"MQO_BETA"
"MQO_PRED"
"MQO_STD"
"MACD"
"MACDH"
"OPEN"
"CLOSE"
"VOLUME"
"MASS"
"RMF"
"MFI"
"MIDPOINT"
"MOM"
"NVI"
"NATR"
"OBV"
"TP"
"SS1"
"SR1"
"DS1"
"DR1"
"PC_UP"
"PC_DOWN"
"CHOPPINESS"
"PVOH"
"PVI"
"PVT"
"KST"
"PSK"
"RSI"
"SMA"
"STRSI"
"STOCH_D"
"STOCH_D_SLOW"
"TSI"
"ULTOSC"
"VAMA"
"VOOSC"
"VPT"
"NVOI"
"WILL_R"
"DISP"
"OSCP"
"PSY"
"BIAS"
"VOLR"
"REX"
"HPR"
"LPR"
"VMOM"
