"x"
"MOM"
"STOCH_D"
"MACD"
"WILL_R"
"CCI"
"ROC"
"OSCP"
"PSY"
"BIAS"
"VOLR"
"DMI"
"REX"
"NVI"
"PVI"
"VAMA"
"HPR"
"LPR"
"VMOM"
"PPO"
"SAR"
"OBV"
"VOLAT"
"MFI"
"MQO_BETA"
"VOLUME"
