"x"
"HULL"
"SR2"
"AR_NEG"
"DEMA"
"DSS"
"MACD"
"CCI"
"SMA"
"FS2"
"MACDH"
"WMA"
"SR1"
"MAE_UP"
"SS1"
"DPO"
