"x"
"APO"
"ATR"
"BB_UP"
"BB_LOW"
"BWW"
"CHAND_SHORT"
"DPO"
"KC_M"
"CLOSE"
"NVI"
"OBV"
"CHOPPINESS"
"PVI"
"DISP"
"BIAS"
