"x"
"MOM"
"STOCH_K"
"STOCH_D"
"STOCH_D_SLOW"
"MACD"
"WILL_R"
"CCI"
"ROC"
"DISP"
"OSCP"
"PSY"
"BIAS"
"VOLR"
"ATR"
"DMI"
"REX"
"NVI"
"PVI"
"VAMA"
"LPR"
"VMOM"
"MPP"
"PPO"
"OBV"
"VOLAT"
"MFI"
"VOLUME"
