"x"
"AD"
"ADL"
"ADX"
"CHOSC"
"AR_POS"
"AR_NEG"
"AVOL"
"CCI"
"ROC"
"DPO"
"DEMA"
"DSS"
"FORCE"
"HULL"
"VOLUME"
"MASS"
"MFI"
"MOM"
"NVI"
"OBV"
"CHOPPINESS"
"PVO"
"PVOH"
"PVI"
"PVT"
"KST"
"PSK"
"STRSI"
"STOCH_D"
"STOCH_K"
"TSI"
"ULCER"
"ULTOSC"
"VPT"
"PVOI"
"NVOI"
"OSCP"
"PSY"
"BIAS"
"VOLR"
"REX"
"HPR"
"LPR"
"VMOM"
"MPP"
