"x"
"MFM"
"ADX"
"CHOSC"
"APO"
"AR_POS"
"AR_NEG"
"ATR"
"ATRP"
"AVOL"
"BB_BW"
"BWW"
"VOLAT"
"CCI"
"CVOL"
"CMO"
"COPP"
"DPO"
"DMI"
"DEMA"
"DSS"
"EMV"
"FORCE"
"HULL"
"MQO_ALPHA"
"MQO_BETA"
"MQO_STD"
"VOLUME"
"MASS"
"MFI"
"MIDPOINT"
"MOM"
"NVI"
"NATR"
"OBV"
"SAR"
"SS1"
"SS2"
"DS1"
"CHOPPINESS"
"PVO"
"PVOH"
"PVI"
"PVT"
"PSK"
"RSI"
"STRSI"
"STOCH_D"
"STOCH_K"
"TSI"
"ULCER"
"ULTOSC"
"VOOSC"
"PVOI"
"NVOI"
"WILL_R"
"PSY"
"BIAS"
"VOLR"
"REX"
"HPR"
"LPR"
"VMOM"
"MPP"
