"x"
"AD"
"ADL"
"APO"
"AR_NEG"
"AR_OSC"
"BB_BW"
"BWW"
"CCI"
"CMO"
"ROC"
"COPP"
"DPO"
"DMI"
"DEMA"
"DSS"
"FORCE"
"HULL"
"MQO_BETA"
"MQO_STD"
"MACDH"
"VOLUME"
"MASS"
"RMF"
"MFI"
"MIDPRICE"
"MOM"
"NVI"
"SAR"
"PVOH"
"PVI"
"PVT"
"PSK"
"RSI"
"STRSI"
"STOCH_K"
"TRIX"
"ULTOSC"
"VOOSC"
"VPT"
"DISP"
"OSCP"
"PSY"
"BIAS"
"VOLR"
