"x"
"MOM"
"STOCH_D"
"MACD"
"WILL_R"
"CCI"
"ROC"
"DISP"
"OSCP"
"PSY"
"BIAS"
"VOLR"
"ATR"
"DMI"
"NVI"
"VAMA"
"MPP"
"PPO"
"SAR"
"OBV"
"VOLAT"
"MFI"
"MQO_BETA"
"VOLUME"
