"x"
"DISP"
"APO"
"CVOL"
"ADL"
"ATRP"
"DPO"
"KC_L"
"BIAS"
"MAXX"
"TRIX"
"KST"
"AVOL"
"DR1"
"DONCHIAN"
"BWW"
