"x"
"MFM"
"BB_UP"
"BB_LOW"
"CCI"
"CVOL"
"CHAND_LONG"
"CHAND_SHORT"
"ROC"
"DPO"
"DEMA"
"KC_U"
"KC_M"
"OPEN"
"OBV"
"PD1"
"KST"
"STOCH_D"
"STOCH_K"
"WMA"
"WWS"
"DISP"
