"x"
"DPO"
"STRSI"
"AVOL"
"PVOI"
"MOM"
"NVOI"
"DR1"
"WWS"
"HPR"
"LPR"
"BIAS"
"AR_OSC"
"STOCH_D_SLOW"
"ULTOSC"
"STOCH_K"
