"x"
"AB_DOWN"
"MFM"
"ATR"
"CCI"
"DPO"
"DEMA"
"KAMA"
"KC_M"
"MQO_BETA"
"MQO_PRED"
"MACD"
"OPEN"
"CLOSE"
"MIDPRICE"
"PD1"
"PC_DOWN"
"CHOPPINESS"
"STRSI"
"STOCH_D"
"PVOI"
"NVOI"
"WMA"
"DISP"
"BIAS"
"ULTOSC"
"LPR"
