"x"
"SMA"
"WMA"
"MOM"
"STOCH_K"
"STOCH_D"
"STOCH_D_SLOW"
"MACD"
"WILL_R"
"CCI"
"ROC"
"DISP"
"OSCP"
"PSY"
"BIAS"
"VOLR"
"BB_UP"
"DMI"
"REX"
"NVI"
"PVI"
"HPR"
"LPR"
"VMOM"
"MPP"
"PPO"
"SAR"
"OBV"
"VOLAT"
"MFI"
"MQO_BETA"
"OPEN"
"CLOSE"
"VOLUME"
