"x"
"DPO"
"MQO_PRED"
"DISP"
"STOCH_K"
"ROC"
"BB_LOW"
"ADL"
"PSY"
"BIAS"
"PVO"
"MAE_UP"
"LPR"
"HULL"
"ULTOSC"
"SAR"
