"x"
"MOM"
"STOCH_K"
"STOCH_D"
"RSI"
"MACD"
"CCI"
"ROC"
"DISP"
"OSCP"
"PSY"
"BIAS"
"VOLR"
"ATR"
"BB_LOW"
"DMI"
"REX"
"NVI"
"PVI"
"HPR"
"LPR"
"VMOM"
"MPP"
"PPO"
"VOLAT"
"MFI"
"MQO_BETA"
"VOLUME"
